author id,author username,is_verified_user,followers_count,following_count,tweet_count,listed_count,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
518469041,B4INForex,False,395,1262,12960,7,2012-10-25 23:19:02+00:00, ,261607833395671040,en,0,0,0,0,dlvr.it,U.K GDP Figures lead to Sterling strength as predicted at the start of the week :) Pound up against EUR USD CAD AUD... http://t.co/87UQVNLh
751496282,forexwinner2,False,5,0,13403,0,2012-10-25 22:57:25+00:00, ,261602394029314050,en,0,0,0,0,forex now,EUR/CHF Forex Analysis - RSI is bearish and falling http://t.co/SM35ySWw
751496282,forexwinner2,False,5,0,13403,0,2012-10-25 21:12:42+00:00, ,261576041175343104,en,0,0,0,0,forex now,EUR/CHF Forex Analysis - RSI is bearish and falling http://t.co/SM35ySWw
127759625,maxmckegg_TRL,False,1113,176,4712,73,2012-10-25 20:36:52+00:00, ,261567022339616769,en,0,0,0,0,TweetDeck,"My latest forecasts for EUR, JPY, CHF, GBP, AUD and NZD now available by email from TRL@clear.net.nz"
751496282,forexwinner2,False,5,0,13403,0,2012-10-25 16:12:52+00:00, ,261500586762051584,en,0,0,0,0,forex now,EUR/CHF Forex Analysis - RSI is bearish and falling http://t.co/SM35ySWw
261250410,xsmokeeloveex,False,168,279,2070,9,2012-10-25 16:07:17+00:00, ,261499178331557888,en,0,0,0,0,Facebook,"The S Creative Studio Shop supports most known currencies such as PLN, USD, CAD, EUR, CHF, GBP, JPY, KYD and XCD.... http://t.co/dyMQJNZi"
212597510,leopardtrader,False,637,33,11944,36,2012-10-25 13:52:40+00:00, ,261465302058037248,en,0,0,0,0,StockTwits Web,Commented on StockTwits: Book fat profit  in $CHFJPY long...as chf and eur relatively weak  going forward. Other hig... http://t.co/sH5oCFFe
751496282,forexwinner2,False,5,0,13403,0,2012-10-25 13:11:13+00:00, ,261454871541215232,en,0,0,0,0,forex now,EUR/CHF Forex Analysis - RSI is bearish and falling http://t.co/SM35ySWw
60028908,Currencyinfo,False,605,428,11375,12,2012-10-25 10:28:29+00:00, ,261413916817641472,en,0,0,0,0,OnToplist.com,U.K GDP Figures lead to Sterling strength as predicted at the start of the week :) Pound up against EUR USD CAD AUD NZ http://t.co/eELvMKxT
191764888,Poundsterfcast,False,21,27,2819,0,2012-10-25 10:19:23+00:00, ,261411626228543488,en,0,0,0,0,twitterfeed,U.K GDP Figures lead to Sterling strength as predicted at the start of the week :) Pound up against EUR USD CAD ... http://t.co/Sh35lGIu
